Category,Product Name,Price,Rating,Source
Smartphones,4UONLY BS730 Neckband Wireless With Bluetooth Magnetic Earphones 4UO417 In-Ear Bluetooth Headset ( Assorted ),279,NA,Paytm Mall
Smartphones,Gadget-Wagon Gw-476/3012-3p 10a Plug ( Set of 3 ),399,NA,Paytm Mall
Smartphones,JMO27Deals smart Table Lamp Night Light Bluetooth Speakers,795,NA,Paytm Mall
Laptops,AV INT English Learner Laptop - 20 Activities,1249,NA,Paytm Mall
Laptops,Madhuran Mars Bed Laptop Cum Study Table Wenge,1349,NA,Paytm Mall
Laptops,"Frazzer Foldable and Adjustable Multi Purpose Utility Table Mate for Laptop, Dinner, Study (Black White Black) - Stronger Than Shown in TV Ads",1499,NA,Paytm Mall
Laptops,Right traders Laptop table black,1999,NA,Paytm Mall
Laptops,Gizga Essentials 15.6-inch Portable Laptop Stand (Silver),1049,NA,Paytm Mall
Laptops,Ibs Table Mate II Heavy Duty Kids Office Study Reading Adjustable Wooden 553 Orange Bed Mate Engineered Wood Portable Laptop Table (Finish Color - Orange),1499,NA,Paytm Mall
Laptops,"NHR strong baby / Kids foldable Multipurpose multicolour Bed Table for eating , dinning , study , play ( Big size) Magic Cat",730,NA,Paytm Mall
Laptops,Ibs Table Mate II Heavy Duty Kids Office Study Reading Adjustable Wooden 590 Pink Bed Mate Engineered Wood Portable Laptop Table (Finish Color - Pink),1499,NA,Paytm Mall
Smartwatches,Skylofts - ALL WORKING - KIDS FAVOURITE - BIRTHDAY PARTY RETURN GIFT - SET OF 5 MULTIFUNCTION DIGITAL SPORTS SMART BAND With LED Lights,399,NA,Paytm Mall
Smartwatches,Universal  Ben 10 Projector Toy Watch for Kids,290,NA,Paytm Mall
Smartwatches,Upto 80% Off + Extra Rs.300 Off on Smartwatches,5,NA,Paytm Mall
Smartwatches,Flat 80% Off on Smartwatches,5,NA,Paytm Mall
Smartwatches,Gift Card worth Rs.1000,1000,NA,Paytm Mall
Smartwatches,Ismart  Chota Bheem Projector Kids  Boys & Girls Watch (Ismart00064),289,NA,Paytm Mall
Smartwatches,Reliance Smart Gift Card,1000,NA,Paytm Mall
Smartwatches,Reliance Smart Point Gift Card,5000,NA,Paytm Mall
Headphones,SHOPLINE Magnet Mono Bluetooth Headset ( White ),149,NA,Paytm Mall
Headphones,ZAUKY TWNS-8 In-Ear Bluetooth Headset ( White ),299,NA,Paytm Mall
Headphones,Upto 75% Off + Extra Rs.500 Off on Selected Products,8,NA,Paytm Mall
Headphones,Comm Open Ear Headphones at Rs.3145,1,NA,Paytm Mall
AC,Ac Nylon Assorted Laundry Basket ( Set of 2 ),375,NA,Paytm Mall
AC,Ac Double Sided Microfiber Cleaning Gloves (Set of 2),249,NA,Paytm Mall
AC,Glassiano Ac cover for LG 1 Ton Inverter Split AC White (BSA12BEYD) Split Outdoor Unit,479,NA,Paytm Mall
AC,Ac Self Dispenser Cleaning Brush,149,NA,Paytm Mall
AC,Dream Care Waterproof Multicolor Printed AC Cover for LG JS-Q18NPXA 1.5 Ton Dual Inverter split in Unit Product Dimension (LxWxH)::(23 cm (9 inch) x 109 cm (43 inch) x 30 cm(12 inch)),389,NA,Paytm Mall
AC,Dream Care Grey Colored Waterproof and Dustproof Window AC Cover for LG LWA2CP1A L-Crescent Plus AC 0.75 Ton 1 Star Rating,389,NA,Paytm Mall
AC,Double igloo AC Blaket,1420,NA,Paytm Mall
AC,Glassiano Ac cover for Voltas Hot and Cold 1.5 Ton 18 HY Split Outdoor Unit,489,NA,Paytm Mall
TV,"Frazzer Foldable and Adjustable Multi Purpose Utility Table Mate for Laptop, Dinner, Study (Black White Black) - Stronger Than Shown in TV Ads",1499,NA,Paytm Mall
TV,4square 6-Slot Clear Acrylic Home Desk Tv Air-Conditioner Remote Control Storage Holder Organizer Stand,449,NA,Paytm Mall
TV,USB 5V LED Flexible Strip Multicolor options mode TV Background Lighting 5050 RGB IP65 100CM- 30LED/M with 17 key controller 3M tape with 17 key controller 1 Meter Led Light  (Multicolor),599,NA,Paytm Mall
TV,Sherlock Holmes Poster | sherlock holmes tv show posters | sherlock holmes posters | sherlock holmes movie posters | sherlock holmes,189,NA,Paytm Mall
TV,Madhuran Wall Mounted Set Top Box Stand Classic Walnut/Perfect Organizer Tv Entertainment Unit Stand,769,NA,Paytm Mall
TV,"Tv USB 3 Meter Mini Controller Light 5V 5050 RGB LED Flexible Strip Multicolor Options/Mode TV Background Lighting Self Adhesive 3M Tape with Mini Controller (Multi-Color, 3 Meter)",799,NA,Paytm Mall
TV,Glassiano LED TV Cover For Samsung 60.96 cm (24 inch) 24H4003-SF HD LED TV Black,399,NA,Paytm Mall
TV,Glassiano LED TV Cover For Sony (124.46 cm (49 inch)) Bravia KLV-49W672E Full HD Smart LED TV,699,NA,Paytm Mall
Washing Machine,Glassiano Washing Machine Cover For Fully Automatic Top Load Bosch Serie 2 WOE704Y0IN 7 kg Washing Machine;Sams68,499,NA,Paytm Mall
Washing Machine,Glassiano dustproof and waterproof washing machine cover for front load 6KG_LG_F70E1UDNK1_Sams17,499,NA,Paytm Mall
Washing Machine,Glassiano Flower Printed Washing Machine Cover For Samsung WA65M4100HV/TL Fully Automatic 6.5Kg,499,NA,Paytm Mall
Washing Machine,SToK A3 Lamination/Laminating Machine with 5 Free Lamination Pouches/Ideal for Photos ID;I-Card;Hot & Cold,1799,NA,Paytm Mall
Washing Machine,Visko 224 3/8 Breast Drill Machine,777,NA,Paytm Mall
Washing Machine,POWERFUL 10MM DRILL MACHINE WITH 13pcs HSS METAL/WOOD BIT SET & 5pcs MASNORY WALL BIT SET (COLOUR ASSORTED),1249,NA,Paytm Mall
Washing Machine,Special Combo Offer Shopper52 Drill Machine With 25 pcs Hobby toolkit and Snap N grip,1199,NA,Paytm Mall
Washing Machine,Glassiano Floral And Leafy Multi Coloured Waterproof & Dustproof Washing Machine Cover For Ifb Tl- Rcw 6.5 kg Aqua Fully Automatic Top Load 6.5 kg Washing Machine,599,NA,Paytm Mall
Microwave,Lock & Lock Oven Glass Tiffin Set 3 Pcs With Lunch Bag,1575,NA,Paytm Mall
Microwave,Lock & Lock Oven Glass Tiffin Set 3 Pcs With Lunch Bag,1575,NA,Paytm Mall
Microwave,SVK Dream Kitchen Dishes Food Grade Silicone Microwave Oven Mitt Insulated Non-Slip Glove - Pack of 2,239,NA,Paytm Mall
Microwave,Lithara Beautiful Multi color Designed Printed Microwave Oven Cover for IFB 25SC3 25 Litre,399,NA,Paytm Mall
Microwave,Glassiano Leaves Printed Microwave Oven Cover for IFB 17 LItre Solo (17PM MEC 1;White),399,NA,Paytm Mall
Microwave,Shree Jee 1 pc Each of PVC Refrigerator Cover & Microwave oven cover(Pack of 2)),349,NA,Paytm Mall
Microwave,Dream Care Foloral Printed Microwave Oven Cover for IFB 17 L Solo Microwave Oven 17PM MEC 1,389,NA,Paytm Mall
Microwave,Shree Ji 1 pcs;Premium Microwave Oven Cover,249,NA,Paytm Mall
Tablets,SHOPLINE Magnet Mono Bluetooth Headset ( White ),149,NA,Paytm Mall
Tablets,Car Adapter for Vtech InnoTab Learning Tablet Inno tab DC Charger Auto Power,1628,NA,Paytm Mall
Tablets,IMMUTABLE In-Ear Bluetooth Headset ( White ),309,NA,Paytm Mall
Tablets,kudos Pill Box 7-day Planner Organizer Weekly Reminder Case Lidded Tablet Holder,254,NA,Paytm Mall
Tablets,Motivational Quote Laptop and tablet stickers (black),299,NA,Paytm Mall
Tablets,kudos  Tablet Holder Storage Medicine Container,339,NA,Paytm Mall
Tablets,TSV Portable 8.5 RuffPad E-Writer LCD Writing Paperless Digital Drawing Tablet Handwriting Notepad (Black),424,NA,Paytm Mall
Tablets,TSV Portable Handwriting Pads Ruff Pad E-Writer;8.5 inch LCD Paperless Memo Digital Tablet Notepad;Ultra-Thin Board,430,NA,Paytm Mall
Refrigerators,Multifuction Plastic Kitchen Refrigerator Storage Rack Home Fridge Shelf tray,289,NA,Paytm Mall
Refrigerators,Medium ( Black ),22803,NA,Paytm Mall
Refrigerators,Gg Rose By Rock Rebel Fringe Quilted Skull Black Goth Punk Handbag Bag Purse,9893,NA,Paytm Mall
Refrigerators,Anekaant Beige Stripe Silk Viscose Fringes Scarf (25X160 cm),489,NA,Paytm Mall
Refrigerators,House of Quirk Kitchen Fridge Hanging Rack Refrigerator Shelf - White,599,NA,Paytm Mall
Refrigerators,Gg Rose By Rock Rebel Fringe Quilted Skull Marsala Goth Punk Handbag Bag Purse,17876,NA,Paytm Mall
Refrigerators,Right Traders 4 pc Slide Kitchen Fridge Freezer Space Saver Organizer Storage Rack Shelf Holde Drawer,349,NA,Paytm Mall
Refrigerators,Goel Home Decor PVC Double Coin Design Refrigerator Drawer/Fridge/Multi-Purpose Mats- 11 inch * 17 inch Set of 6 Pieces,249,NA,Paytm Mall
